Unnamed: 0,id,user,shift,initepoch,endepoch,initdayofweek,enddayofweek,isWorkingDay,timeOnTask,numsteps,mixture,additive,container,initialAdditive,machine,anomaly,interactionwu_prep,interactionwu_prep_json,encoded_user,encoded_mixture,encoded_container,hora_decimal
431,431,48cgGuhQ,t2,1560340893506,1560340914223,2,2,1,20717,13,mixture3,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture3', 'btn5ok', 'btn1ok']","{3658: 'btn1additive', 3659: 'btn3decreaseadditive', 3660: 'btn3decreaseadditive', 3661: 'btn3decreaseadditive', 3662: 'btn3ok', 3663: 'btn1drink', 3664: 'btn5mixture3', 3665: 'btn5ok', 3666: 'btn1ok'}",1,9,0,12.025833333333336
707,707,oDafga1Wq8p,t2,1580736112813,1580736309960,0,0,1,197147,20,mixture8,0,yes,3,e11p0,0,"['btn1container', 'btn2container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture8', 'btn5ok', 'btn1additive', 'btn3ok', 'btn1ok']","{5894: 'btn1container', 5895: 'btn2container', 5896: 'btn2ok', 5897: 'btn1additive', 5898: 'btn3decreaseadditive', 5899: 'btn3decreaseadditive', 5900: 'btn3decreaseadditive', 5901: 'btn3ok', 5902: 'btn1drink', 5903: 'btn5mixture8', 5904: 'btn5ok', 5905: 'btn1additive', 5906: 'btn3ok', 5907: 'btn1ok'}",21,14,1,13.364444444444445
560,560,2cvOv2v,t1,1562066328403,1562066344865,1,1,1,16462,10,mixture1,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture1', 'btn5ok', 'btn1ok']","{4801: 'btn1additive', 4802: 'btn3decreaseadditive', 4803: 'btn3decreaseadditive', 4804: 'btn3decreaseadditive', 4805: 'btn3ok', 4806: 'btn1drink', 4807: 'btn5mixture1', 4808: 'btn5ok', 4809: 'btn1ok'}",0,0,0,11.313333333333334
1001,1001,4PBj1BPw,t1,1585034116000,1585034135000,1,1,1,19000,4,mixture6,3,no,3,e11p3,0,"['btn1drink', 'btn5mixture6', 'btn5ok', 'btn1ok']","{8006: 'btn1drink', 8007: 'btn5mixture6', 8008: 'btn5ok', 8009: 'btn1ok'}",3,12,0,7.254444444444444
426,426,4CKbREMC,t1,1560330401157,1560330418966,2,2,1,17809,15,mixture4,0,yes,3,e11p0,0,"['btn1container', 'btn2container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture4', 'btn5ok', 'btn1ok']","{3611: 'btn1container', 3612: 'btn2container', 3613: 'btn2ok', 3614: 'btn1additive', 3615: 'btn3decreaseadditive', 3616: 'btn3decreaseadditive', 3617: 'btn3decreaseadditive', 3618: 'btn3ok', 3619: 'btn1drink', 3620: 'btn5mixture4', 3621: 'btn5ok', 3622: 'btn1ok'}",2,10,1,9.111388888888888
718,718,lbs8mLQBQ,t1,1580807520623,1580807533007,1,1,1,12384,13,mixture4,2,yes,3,e11p0,0,"['btn1container', 'btn2container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture4', 'btn5ok', 'btn1ok']","{5971: 'btn1container', 5972: 'btn2container', 5973: 'btn2ok', 5974: 'btn1additive', 5975: 'btn3decreaseadditive', 5976: 'btn3ok', 5977: 'btn1drink', 5978: 'btn5mixture4', 5979: 'btn5ok', 5980: 'btn1ok'}",19,10,1,9.2
510,510,2cvOv2v,t1,1561097852524,1561097863882,4,4,1,11358,10,mixture3,0,no,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture3', 'btn5ok', 'btn1ok']","{4376: 'btn1additive', 4377: 'btn3decreaseadditive', 4378: 'btn3decreaseadditive', 4379: 'btn3decreaseadditive', 4380: 'btn3ok', 4381: 'btn1drink', 4382: 'btn5mixture3', 4383: 'btn5ok', 4384: 'btn1ok'}",0,9,0,6.292222222222222
756,756,lbs8mLQBQ,t2,1580994933602,1580994949816,3,3,1,16214,13,mixture6,2,yes,3,e11p0,0,"['btn1container', 'btn2container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture6', 'btn5ok', 'btn1ok']","{6228: 'btn1container', 6229: 'btn2container', 6230: 'btn2ok', 6231: 'btn1additive', 6232: 'btn3decreaseadditive', 6233: 'btn3ok', 6234: 'btn1drink', 6235: 'btn5mixture6', 6236: 'btn5ok', 6237: 'btn1ok'}",19,12,1,13.259166666666667
949,949,lbs8mLQBQ,t2,1584022664000,1584022676000,3,3,1,12000,10,mixture6,2,yes,3,e11p3,0,"['btn1container', 'btn2container', 'btn2ok', 'btn1additive', 'btn3decreaseadditive', 'btn3ok', 'btn1drink', 'btn5mixture6', 'btn5ok', 'btn1ok']","{7619: 'btn1container', 7620: 'btn2container', 7621: 'btn2ok', 7622: 'btn1additive', 7623: 'btn3decreaseadditive', 7624: 'btn3ok', 7625: 'btn1drink', 7626: 'btn5mixture6', 7627: 'btn5ok', 7628: 'btn1ok'}",19,12,1,14.295555555555556
1247,1247,etkcoMvHM,t1,1589353933000,1589353944000,2,2,1,11000,8,mixture6,1,yes,3,e11p3,0,"['btn1additive', 'btn3decreaseadditive', 'btn3decreaseadditive', 'btn3ok','btn1drink', 'btn5mixture6', 'btn5ok', 'btn1ok']","{9823: 'btn1additive', 9824: 'btn3decreaseadditive', 9825: 'btn3decreaseadditive', 9826: 'btn3ok', 9827: 'btn1drink', 9828: 'btn5mixture6', 9829: 'btn5ok', 9830: 'btn1ok'}",17,12,1,7.203611111111111
